Employee #,Last Name,First Name,Birthday,Email,Phone Number,House/Block/Lot #,Street,Barangay,City/Municipality,Province,ZIP Code,SSS #,Philhealth #,TIN #,Pag-ibig #,Employment Status,Position,Immediate Supervisor,Date Hired,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,Status
10001,Garcia,Manuel III,10/11/1983,Garcia.Manuel@motorph.com.ph,966-860-270,Valero Carpark Building,Valero Street,,Makati City,,1227,44-4506057-3,8.20E+11,442-605-657-000,6.91E+11,Regular,Chief Executive Officer,N/A,6/1/2024,"90,000.00","1,500.00","2,000.00","1,000.00","45,000.00",535.71,TRUE
10002,Lim,Antonio,6/19/1988,Lim.Antonio@motorph.com.ph,171-867-411,Block 1 Lot 8 and 2,San Antonio De Padua 2,,Dasmarinas,Cavite,,52-2061274-9,3.32E+11,683-102-776-000,6.64E+11,Regular,Chief Operating Officer,"Garcia, Manuel III",6/1/2024,"60,000.00","1,500.00","2,000.00","1,000.00","30,000.00",357.14,TRUE
10003,Aquino,Bianca Sofia,8/4/1989,Aquino.Bianca Sofia@motorph.com.ph,966-889-370,Rm. 402 4/F Jiao Building,Timog Avenue Cor. Quezon Avenue,,Quezon City,,1100,30-8870406-2,1.77E+11,971-711-280-000,1.72E+11,Regular,Chief Finance Officer,"Garcia, Manuel III",6/1/2024,"60,000.00","1,500.00","2,000.00","1,000.00","30,000.00",357.14,TRUE
10004,Reyes,Isabella,6/16/1994,Reyes.Isabella@motorph.com.ph,786-868-477,460,Solanda Street Intramuros,,Manila,,1000,40-2511815-0,3.42E+11,876-809-437-000,4.17E+11,Regular,Chief Marketing Officer,"Garcia, Manuel III",6/1/2024,"60,000.00","1,500.00","2,000.00","1,000.00","30,000.00",357.14,TRUE
10005,Hernandez,Eduard,9/23/1989,Hernandez.Eduard@motorph.com.ph,088-861-012,,National Highway,,Gingoog,Misamis Occidental,,50-5577638-1,9.57E+11,031-702-374-000,9.52E+11,Regular,IT Operations and Systems,"Lim, Antonio",6/1/2024,"52,670.00","1,500.00","1,000.00","1,000.00","26,335.00",313.51,TRUE
10006,Villanueva,Andrea Mae,2/14/1988,Villanueva.Andrea Mae@motorph.com.ph,918-621-603,17/85 Stracke Via Suite 042,,Poblacion,Las Piñas,Dinagat Islands,4783,49-1632020-8,3.82E+11,317-674-022-000,4.41E+11,Regular,HR Manager,"Lim, Antonio",6/1/2024,"52,670.00","1,500.00","1,000.00","1,000.00","26,335.00",313.51,TRUE
10007,San Jose,Brad ,3/15/1996,San Jose.Brad@motorph.com.ph,797-009-261,99,Strosin Hills,Poblacion,Bislig,Tawi-Tawi,5340,40-2400714-1,2.39E+11,672-474-690-000,2.11E+11,Regular,HR Team Leader,"Villanueva, Andrea Mae",6/1/2024,"42,975.00","1,500.00",800.00,800.00,"21,488.00",255.80,TRUE
10008,Romualdez,Alice,5/14/1992,Romualdez.Alice@motorph.com.ph,983-606-799,12A/33 Upton Isle Apt. 420,,Roxas City,,Surigao del Norte,1814,55-4476527-2,5.46E+11,888-572-294-000,2.11E+11,Regular,HR Rank and File,"San, Jose Brad",6/1/2024,"22,500.00","1,500.00",500.00,500.00,"11,250.00",133.93,TRUE
10009,Atienza,Rosie ,9/24/1948,Atienza.Rosie@motorph.com.ph,266-036-427,90A Dibbert Terrace Apt. 190,,San Lorenzo,,Davao del Norte,6056,41-0644692-3,7.09E+11,604-997-793-000,2.60E+11,Regular,HR Rank and File,"San, Jose Brad",6/1/2024,"22,500.00","1,500.00",500.00,500.00,"11,250.00",133.93,TRUE
10010,Alvaro,Roderick,3/30/1988,Alvaro.Roderick@motorph.com.ph,053-381-386,#284,"T. Morato corner, Scout Rallos Street",,Quezon City,,,64-7605054-4,5.78E+11,525-420-419-000,7.99E+11,Regular,Accounting Head,"Aquino, Bianca Sofia ",6/1/2024,"52,670.00","1,500.00","1,000.00","1,000.00","26,335.00",313.51,TRUE
