Employee #,Last Name,First Name,Birthday,Email,Phone Number,House/Block/Lot #,Street,Barangay,City/Municipality,Province,ZIP Code,Address,SSS #,Philhealth #,TIN #,Pag-ibig #,Employment Status,Position,Immediate Supervisor,Date Hired,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,Status
10001,Garcia,Manuel III,10/11/1983,,966-860-270,,,,,,,"Valero Carpark Building Valero Street 1227, Makati City",44-4506057-3,8.20E+11,442-605-657-000,6.91E+11,Regular,Chief Executive Officer,N/A,,"90,000","1,500","2,000","1,000","45,000",535.71,1
10002,Lim,Antonio,6/19/1988,,171-867-411,,,,,,,"San Antonio De Padua 2, Block 1 Lot 8 and 2, Dasmarinas, Cavite",52-2061274-9,3.32E+11,683-102-776-000,6.64E+11,Regular,Chief Operating Officer,"Garcia, Manuel III",,"60,000","1,500","2,000","1,000","30,000",357.14,1
10003,Aquino,Bianca Sofia,8/4/1989,,966-889-370,,,,,,,"Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100, Quezon City",30-8870406-2,1.77E+11,971-711-280-000,1.72E+11,Regular,Chief Finance Officer,"Garcia, Manuel III",,"60,000","1,500","2,000","1,000","30,000",357.14,1
10004,Reyes,Isabella,6/16/1994,,786-868-477,,,,,,,"460 Solanda Street Intramuros 1000, Manila",40-2511815-0,3.42E+11,876-809-437-000,4.17E+11,Regular,Chief Marketing Officer,"Garcia, Manuel III",,"60,000","1,500","2,000","1,000","30,000",357.14,1
10005,Hernandez,Eduard,9/23/1989,,088-861-012,,,,,,,"National Highway, Gingoog,  Misamis Occidental",50-5577638-1,9.57E+11,031-702-374-000,9.52E+11,Regular,IT Operations and Systems,"Lim, Antonio",,"52,670","1,500","1,000","1,000","26,335",313.51,1
10006,Villanueva,Andrea Mae,2/14/1988,,918-621-603,,,,,,,"17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands ",49-1632020-8,3.82E+11,317-674-022-000,4.41E+11,Regular,HR Manager,"Lim, Antonio",,"52,670","1,500","1,000","1,000","26,335",313.51,1
10007,San Jose,Brad ,3/15/1996,,797-009-261,,,,,,,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",40-2400714-1,2.39E+11,672-474-690-000,2.11E+11,Regular,HR Team Leader,"Villanueva, Andrea Mae",,"42,975","1,500",800,800,"21,488",255.8,1
10008,Romualdez,Alice,5/14/1992,,983-606-799,,,,,,,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte ",55-4476527-2,5.46E+11,888-572-294-000,2.11E+11,Regular,HR Rank and File,"San, Jose Brad",,"22,500","1,500",500,500,"11,250",133.93,1
10009,Atienza,Rosie ,9/24/1948,,266-036-427,,,,,,,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",41-0644692-3,7.09E+11,604-997-793-000,2.60E+11,Regular,HR Rank and File,"San, Jose Brad",,"22,500","1,500",500,500,"11,250",133.93,1
10010,Alvaro,Roderick,3/30/1988,,053-381-386,,,,,,,"#284 T. Morato corner, Scout Rallos Street, Quezon City",64-7605054-4,5.78E+11,525-420-419-000,7.99E+11,Regular,Accounting Head,"Aquino, Bianca Sofia ",,"52,670","1,500","1,000","1,000","26,335",313.51,1
10011,Salcedo,Anthony,9/14/1993,,070-766-300,,,,,,,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",26-9647608-3,1.26E+11,210-805-911-000,2.18E+11,Regular,Payroll Manager,"Alvaro, Roderick",,"50,825","1,500","1,000","1,000","25,413",302.53,1
10012,Lopez,Josie ,1/14/1987,,478-355-427,,,,,,,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",44-8563448-3,4.32E+11,218-489-737-000,1.13E+11,Regular,Payroll Team Leader,"Salcedo, Anthony",,"38,475","1,500",800,800,"19,238",229.02,1
10013,Farala,Martha,1/11/1942,,329-034-366,,,,,,,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte ",45-5656375-0,2.34E+11,210-835-851-000,6.31E+11,Regular,Payroll Rank and File,"Salcedo, Anthony",,"24,000","1,500",500,500,"12,000",142.86,1
10014,Martinez,Leila,7/11/1970,,877-110-749,,,,,,,"37/46 Kulas Roads, Maragondon 0962 Quirino ",27-2090996-4,5.16E+11,275-792-513-000,1.01E+11,Regular,Payroll Rank and File,"Salcedo, Anthony",,"24,000","1,500",500,500,"12,000",142.86,1
10015,Romualdez,Fredrick ,3/10/1985,,023-079-009,,,,,,,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",26-8768374-1,3.08E+11,598-065-761-000,2.23E+11,Regular,Account Manager,"Lim, Antonio",,"53,500","1,500","1,000","1,000","26,750",318.45,1
10016,Mata,Christian,10/21/1987,,783-776-744,,,,,,,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu ",49-2959312-6,8.24E+11,103-100-522-000,6.31E+11,Regular,Account Team Leader,"Romualdez, Fredrick ",,"42,975","1,500",800,800,"21,488",255.8,1
10017,De Leon,Selena ,2/20/1975,,975-432-139,,,,,,,"89A Armstrong Trace, Compostela 7874 Maguindanao",27-2090208-8,5.87E+11,482-259-498-000,7.19E+11,Regular,Account Team Leader,"Romualdez, Fredrick ",,"41,850","1,500",800,800,"20,925",249.11,1
10018,San Jose,Allison ,6/24/1986,,179-075-129,,,,,,,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",45-3251383-0,7.45E+11,121-203-336-000,1.15E+11,Regular,Account Rank and File,"Mata, Christian",,"22,500","1,500",500,500,"11,250",133.93,1
10019,Rosario,Cydney ,10/6/1996,,868-819-912,,,,,,,"93A/21 Berge Points, Tapaz 2180 Quezon",49-1629900-2,5.79E+11,122-244-511-000,2.65E+11,Regular,Account Rank and File,"Mata, Christian",,"22,500","1,500",500,500,"11,250",133.93,1
10020,Bautista,Mark ,2/12/1991,,683-725-348,,,,,,,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",49-1647342-5,4.00E+11,273-970-941-000,2.60E+11,Regular,Account Rank and File,"Mata, Christian",,"23,250","1,500",500,500,"11,625",138.39,1
10021,Lazaro,Darlene ,11/25/1985,,740-721-558,,,,,,,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",45-5617168-2,6.06E+11,354-650-951-000,1.05E+11,Probationary,Account Rank and File,"Mata, Christian",,"23,250","1,500",500,500,"11,625",138.39,1
